Name,Team,PA,Events,EV,maxEV,LA,Barrels,Barrel%,HardHit,HardHit%,AVG,xBA,SLG,xSLG,wOBA,xwOBA,NameASCII,PlayerId,MLBAMID
"Stone Garrett","WSN",6,5,100.01600341796875,107.787,20.534591674804688,2,0.4,4,0.8,0.6,0.581,1.4,1.354,0.8124831120173136,0.779,"Stone Garrett",19273,656448
"Matt Duffy","TEX",10,6,98.8189697265625,104.789,14.276318868001303,0,0,4,0.66666667,0.285714285,0.415,0.285714285,0.474,0.3861874878406525,0.482,"Matt Duffy",13836,622110
"Brian Anderson","ATL",5,3,101.55605061848958,105.878,10.081189473470053,1,0.33333333,3,1,0,0.403,0,0.72,0,0.48,"Brian Anderson",18289,605119
"Aaron Judge","NYY",704,391,96.22869135604113,117.516,18.887951377731362,105,0.2685422,238,0.60869565,0.322003577,0.31,0.701252236,0.723,0.4757340011100992,0.479,"Aaron Judge",15640,592450
"Juan Soto","NYY",713,461,94.18303571428571,115.731,10.680436555631868,91,0.19739696,262,0.56832972,0.288194444,0.316,0.569444444,0.646,0.4205848819428188,0.462,"Juan Soto",20123,665742
"Greg Jones","COL",6,1,109.681396484375,109.681,26.578948974609375,1,1,1,1,0.2,0.198,0.8,0.787,0.4564569691816966,0.452,"Greg Jones",25448,675659
"Shohei Ohtani","LAD",731,482,95.80362513075313,119.207,16.212695516801777,103,0.21369295,287,0.59543568,0.309748427,0.314,0.646226415,0.66,0.43054929176412915,0.442,"Shohei Ohtani",19755,660271
"Yordan Alvarez","HOU",635,461,93.0545261548913,116.974,18.255067510190216,67,0.14533623,229,0.4967462,0.307971014,0.303,0.567028985,0.595,0.40158736975397163,0.411,"Yordan Alvarez",19556,670541
"Vladimir Guerrero Jr.","TOR",697,524,93.75097282088123,117.572,7.381128256453155,72,0.13740458,287,0.54770992,0.323051948,0.321,0.543831168,0.567,0.39789022276871394,0.408,"Vladimir Guerrero Jr.",19611,665489
"Bobby Witt Jr.","KCR",709,538,92.73165224210037,116.885,15.126766162290892,77,0.14312268,259,0.48141264,0.331761006,0.315,0.588050314,0.577,0.40973835374627793,0.407,"Bobby Witt Jr.",25764,677951
"Diego A. Castillo","MIN",8,5,81.37356567382812,101.586,0.12541122436523439,0,0,1,0.2,0.333333333,0.328,0.5,0.373,0.4393022879958153,0.406,"Diego A. Castillo",19906,660636
"Mike Trout","LAA",126,82,89.20973466082317,114.478,25.2317489996189,14,0.17073171,34,0.41463415,0.220183486,0.271,0.541284403,0.591,0.365490749835968,0.405,"Mike Trout",10155,545361
"Marcell Ozuna","ATL",688,441,92.15775720605023,114.75,14.40930788919806,68,0.15419501,235,0.53287982,0.301980198,0.287,0.54620462,0.573,0.39450213334856243,0.402,"Marcell Ozuna",10324,542303
"Kyle Tucker","HOU",339,228,91.05638020833334,108.123,21.208921440972222,29,0.12719298,101,0.44298246,0.288808664,0.279,0.584837545,0.536,0.4188836233035938,0.4,"Kyle Tucker",18345,663656
"Buddy Kennedy","- - -",26,15,88.83424479166666,103.861,12.632964579264323,2,0.13333333,8,0.53333333,0.19047619,0.298,0.38095238,0.462,0.3009231365644015,0.398,"Buddy Kennedy",22505,671083
"Pavin Smith","ARI",158,109,90.17329952694953,112.09,13.125045916356077,16,0.14678899,48,0.44036697,0.270072992,0.293,0.547445255,0.529,0.3774610286272025,0.395,"Pavin Smith",19892,656976
"Rafael Marchán","PHI",56,44,85.81966771834936,102.792,16.562235514322918,3,0.06818182,12,0.27272727,0.294117647,0.336,0.549019607,0.52,0.38196159492839465,0.393,"Rafael Marchan",21646,665561
"Ketel Marte","ARI",583,407,94.12544809850374,117.018,9.45961694883884,50,0.12285012,217,0.53316953,0.291666666,0.294,0.559523809,0.538,0.3909995480337077,0.392,"Ketel Marte",13613,606466
"Corey Seager","TEX",533,381,92.13818230540898,113.252,13.505204897757256,58,0.15223097,189,0.49606299,0.277894736,0.289,0.511578947,0.561,0.364663478286787,0.39,"Corey Seager",13624,608369
"Fernando Tatis Jr.","SDP",438,303,93.5243881932947,116.75,9.969273851407285,44,0.14521452,168,0.55445545,0.276381909,0.298,0.492462311,0.538,0.3587745542395605,0.387,"Fernando Tatis Jr.",19709,665487
"Rece Hinds","CIN",51,30,91.60570475260417,112.673,18.854840087890626,6,0.2,12,0.4,0.260869565,0.245,0.717391304,0.606,0.4332526349553875,0.386,"Rece Hinds",27493,677956
"Charles Leblanc","LAA",28,12,85.2954813639323,107.047,20.201801300048828,2,0.16666667,4,0.33333333,0.19047619,0.21,0.476190476,0.454,0.38166280942303793,0.382,"Charles Leblanc",19813,641779
"Kyle Schwarber","PHI",692,384,93.55561023622047,115.557,14.965549899524278,60,0.15625,211,0.54947917,0.247818499,0.256,0.485165794,0.512,0.36580757077696713,0.38,"Kyle Schwarber",16478,656941
"Brent Rooker","OAK",614,373,91.90940869272237,113.364,18.917100109501348,62,0.16621984,185,0.49597855,0.293040293,0.266,0.562271062,0.557,0.39218441668103954,0.38,"Brent Rooker",19627,667670
