Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Paul Skenes","PIT",12.6279,8.38937,12.6644,2.82979,29.225,29.225,0,0,,173.366,697.763,133.082,58.19,54.51,13.0424,50.0185,0.384599,7.4321,211.795,10.995,2.59663,4.23432,0.677074,0.303533,0.071684,0.23184944689273834,0.207838,1.05615,0.28892,0.757762,,,2.6953,5.48262,5.27067,11.449999809265137,,,,,,,1027.5,5.9393063583815024,949,5.485549132947977,,,,,,,,,,,,,,,,,,,"Paul Skenes","33677",694973
"Tarik Skubal","DET",13.5031,8.33852,14.3735,2.91012,29.476,29.476,0,0,,183.92,731.107,142.935,64.18,59.47,18.0014,41.4163,0.4146,6.47146,215.882,10.564,2.02668,5.21249,0.880886,0.295281,0.0566488,0.23863225430250168,0.209208,1.00234,0.278041,0.755085,,,2.87243,5.47918,5.34315,14.039999961853027,,,,,,,1059.4,5.757608695652174,977,5.309782608695652,,,,,,,,,,,,,,,,,,,"Tarik Skubal","22267",669373
"Logan Webb","SFG",13.4279,9.36832,16.3813,3.48993,30.367,30.367,0,0,,196.302,806.125,189.238,81.81,76.12,14.1574,39.9049,0.694069,6.82029,160.002,7.33574,1.82955,4.00959,0.649086,0.198483,0.0495021,0.1489809714257717,0.249193,1.1673,0.299159,0.703855,,,3.18797,4.63404,4.09397,99.83999633789062,,,,,,,965.8000000000001,4.927551020408163,977,4.98469387755102,,,,,,,,,,,,,,,,,,,"Logan Webb","17995",657277
"Zack Wheeler","PHI",13.7103,8.76188,15.7861,3.41977,30.062,30.062,0,0,,192.092,784.301,160.464,78.35,72.99,21.2032,51.9384,0.377085,8.18706,201.596,9.44526,2.43345,3.88143,0.993425,0.257039,0.0662226,0.1908159703016281,0.221581,1.10573,0.277756,0.733657,,,3.44149,4.60838,4.27039,21.450000762939453,,,,,,,970.5000000000002,5.054687500000001,911,4.744791666666667,,,,,,,,,,,,,,,,,,,"Zack Wheeler","10310",554430
"George Kirby","SEA",12.2964,9.34655,13.8562,3.43987,30.069,30.069,0,0,,180.713,723.451,160.049,73.92,69.07,21.3127,26.7179,0.466923,6.00671,164.029,8.1691,1.33062,6.1393,1.06143,0.226732,0.0369312,0.18980040028691292,0.231711,1.0335,0.274516,0.719095,,,3.42756,4.34295,3.96854,45.18000030517578,,,,,,,894.1000000000001,4.939779005524863,861,4.7569060773480665,,,,,,,,,,,,,,,,,,,"George Kirby","25436",669923
"Logan Gilbert","SEA",13.0609,9.67866,15.8197,3.52019,30.737,30.737,0,0,,194.103,782.395,166.163,81.45,75.92,24.7917,40.1156,0.575923,5.83049,202.975,9.41138,1.86004,5.05976,1.14952,0.259428,0.0512728,0.20815540477633476,0.225628,1.06273,0.277918,0.727567,,,3.44561,4.33541,4.06768,25.780000686645508,,,,,,,964.5000000000001,4.9716494845360835,913,4.706185567010309,,,,,,,,,,,,,,,,,,,"Logan Gilbert","22250",669302
"Garrett Crochet","BOS",10.9677,8.50602,9.36071,3.26017,29.375,29.375,0,0,,152.771,624.002,119.931,59.63,55.34,16.8027,48.6231,0.391489,5.31916,205.908,12.1304,2.86447,4.23477,0.989874,0.329979,0.0779214,0.2520579993724823,0.210383,1.10331,0.296901,0.751043,,,2.95993,4.25751,3.63242,25.15999984741211,,,,,,,861.1000000000001,5.6281045751634,794,5.189542483660131,,,,,,,,,,,,,,,,,,,"Garrett Crochet","27463",676979
"Chris Sale","ATL",11.7588,6.80135,11.729,3.33987,25.789,25.789,0,0,,154.434,634.44,128.885,61.81,57.31,15.7495,43.2225,0.330104,8.56764,191.978,11.188,2.51889,4.44162,0.91784,0.302594,0.068127,0.23446738719940186,0.221205,1.11444,0.301757,0.735031,,,3.0121,4.15399,3.4834,36.33000183105469,,,,,,,835.4000000000002,5.424675324675326,790,5.12987012987013,,,,,,,,,,,,,,,,,,,"Chris Sale","10603",519242
"Cole Ragans","KCR",12.2906,9.09164,13.6902,3.5,29.755,29.755,0,0,,178.457,742.794,145.001,74.27,69.4,18.4963,67.8162,0.464639,6.05986,209.143,10.5476,3.42013,3.08397,0.932809,0.281563,0.0912988,0.19026383012533188,0.216769,1.19254,0.286677,0.741201,,,3.41188,4.14766,3.76473,48.18000030517578,,,,,,,914.8,5.139325842696629,852,4.786516853932584,,,,,,,,,,,,,,,,,,,"Cole Ragans","21846",666142
"Justin Steele","CHC",11.7887,8.61278,12.3785,3.39992,28.842,28.842,0,0,,168.145,687.915,149.756,68.77,63.52,15.9268,41.5327,0.338913,5.94454,156.821,8.39386,2.22305,3.77583,0.852484,0.227965,0.0603749,0.16759037598967552,0.233834,1.13764,0.28615,0.725001,,,3.37962,3.92926,3.64575,120.83999633789062,,,,,,,826.4000000000001,4.919047619047619,802,4.773809523809524,,,,,,,,,,,,,,,,,,,"Justin Steele","17312",657006
