Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Aaron Judge","NYY",145.765,638.714,521.247,146.328,71.4005,26.1733,0.59652,48.1573,104.73,118.448,105.809,10.8722,166.634,6.16246,4.57296,0.420989,9.05265,6.04652,2.23322,0.280726,0.165659,0.26089,0.634978,0.40499,0.610394,0.423183,1.01538,0.329668,3.06721,0.315631,,-1.0566,132.808,58.0927,181.46,-1.0566,-4.49,58.476325154304504,-12.340155601501465,6.96381,3.3299999237060547,,,,,,,1170.7,8.01849315,1170.7,8.01849315,,,,,,,,,,,,,,,,,,,"Aaron Judge","15640",592450
"Bobby Witt Jr.","KCR",153.257,667.287,606.158,180.105,104.381,36.4278,7.26502,32.0308,109.2,97.8862,48.2038,4.92488,111.268,6.38243,5.76124,0.781763,6.87326,39.4768,8.71008,0.297126,0.0722385,0.166747,0.433222,0.352122,0.53972,0.376906,0.891842,0.242594,7.41381,0.315979,,3.15195,113.895,35.8374,144.446,3.15195,0.34,37.0868980884552,7.435231536626816,6.89549,1.559999942779541,,,,,,,1058,6.915032679,1058,6.915032679,,,,,,,,,,,,,,,,,,,"Bobby Witt Jr.","25764",677951
"Gunnar Henderson","BAL",152.168,664.302,582.277,157.003,88.835,32.4017,4.73534,31.0314,99.0838,91.7169,71.4791,3.36273,152.555,5.78601,4.26533,0.494966,12.0475,16.201,3.69997,0.269637,0.1076,0.229647,0.468546,0.352917,0.501428,0.365227,0.854344,0.231791,5.81756,0.31262,,0.457294,107.141,29.4324,143.323,0.457294,1.17,33.38711905479431,7.972724795341492,6.55862,6.380000114440918,,,,,,,960.1,6.316447368,960.1,6.316447368,,,,,,,,,,,,,,,,,,,"Gunnar Henderson","26289",683002
"Juan Soto","NYM",153.006,673.715,538.329,146.008,82.3077,27.8561,1.67136,34.1726,104.452,93.5512,126.6,7.23894,116.937,4.48095,3.55368,0.751121,15.2432,7.75021,3.09664,0.271224,0.187913,0.173571,1.08263,0.411744,0.519616,0.399108,0.93136,0.248392,3.75284,0.286189,,-1.33114,127.031,48.2212,161.807,-1.33114,-0.31,48.46266496181488,-8.357367098331451,6.45906,7.510000228881836,,,,,,,1091.6,7.134640522,1091.6,7.134640522,,,,,,,,,,,,,,,,,,,"Juan Soto","20123",665742
"Shohei Ohtani","LAD",145.337,643.051,551.79,159.112,82.2742,30.962,3.69906,42.1767,115.751,109.53,80.5977,10.8127,143.845,5.0999,3.95487,0.603471,8.15341,33.0392,9.31289,0.288356,0.125336,0.223691,0.560311,0.381655,0.587184,0.405108,0.968838,0.298828,6.41015,0.316278,,1.5957,124.355,49.1319,164.03,1.5957,0,50.83277404308319,-13.774515151977539,6.03891,1.5299999713897705,,,,,,,1141.4,7.871724137,1141.4,7.871724137,,,,,,,,,,,,,,,,,,,"Shohei Ohtani","19755",660271
"Mookie Betts","LAD",148.204,651.713,564.363,156.029,94.0919,31.949,2.91301,27.075,95.3693,89.2474,74.3007,2.54027,87.0185,7.1307,5.31324,0.605659,8.9197,13.2377,4.37008,0.276469,0.114008,0.133523,0.85385,0.364702,0.487326,0.366581,0.852029,0.210857,4.90153,0.283053,,-0.487616,105.821,29.5851,138.099,-0.487616,-1.33,29.20402079820633,5.154042601585388,5.78983,12.420000076293945,,,,,,,929.8,6.282432432,929.8,6.282432432,,,,,,,,,,,,,,,,,,,"Mookie Betts","13611",605141
"Corey Seager","TEX",126.512,549.301,483.019,137.085,77.0036,27.2515,1.04433,31.7858,77.498,88.3375,54.7726,7.10794,95.7332,4.70812,4.17736,0.440991,10.5881,1.08506,0.445607,0.28381,0.0997133,0.174282,0.572139,0.359565,0.541973,0.380169,0.901538,0.258163,2.45782,0.292761,,-0.984554,95.1995,30.9434,151.227,-0.984554,0.33,31.21229988336563,4.184631198644638,5.54686,48.27000045776367,,,,,,,850.9,6.7,850.9,6.7,,,,,,,,,,,,,,,,,,,"Corey Seager","13624",608369
"Yordan Alvarez","HOU",135.665,590.786,506.213,148.742,80.1949,29.3877,1.4931,37.6667,90.86,101.824,69.9286,8.60166,98.8983,8.83491,5.36848,0.440638,9.99269,2.11641,0.735361,0.293833,0.118365,0.167401,0.707076,0.385378,0.581013,0.40529,0.96639,0.287179,3.05568,0.296189,,-1.06122,114.334,45.2254,170.425,-1.06122,-0.11,46.54510819911957,-13.22505222260952,5.47519,17.649999618530273,,,,,,,1013.4,7.451470588,1013.4,7.451470588,,,,,,,,,,,,,,,,,,,"Yordan Alvarez","19556",670541
"Vladimir Guerrero Jr.","TOR",153.689,666.642,587.105,175.906,108.776,32.518,1.18052,33.4319,97.0909,103.423,67.1468,6.73786,92.0832,7.44541,4.43064,0.514011,16.5391,5.57319,2.12064,0.299616,0.100724,0.13813,0.729197,0.376052,0.529856,0.385344,0.905908,0.230239,3.39828,0.305726,,-1.13827,118.313,40.3301,156.198,-1.13827,0,41.728012919425964,-11.418601036071777,5.42541,13.600000381469727,,,,,,,1038,6.74025974,1038,6.74025974,,,,,,,,,,,,,,,,,,,"Vladimir Guerrero Jr.","19611",665489
"José Ramírez","CLE",152.602,660.954,591.38,160.064,94.3875,34.1666,3.9513,27.5587,93.5942,89.6433,58.98,10.1057,75.9062,3.91545,6.11721,0.561079,7.19344,31.3384,9.43908,0.270662,0.0892347,0.114843,0.777012,0.337617,0.481601,0.346539,0.819218,0.210939,6.19423,0.268212,,1.28321,96.66,19.3428,128.797,1.28321,4.9,23.061440587043762,6.666226863861084,5.34575,5,,,,,,,912.3,5.962745098,912.3,5.962745098,,,,,,,,,,,,,,,,,,,"Jose Ramirez","13510",608070
