Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Aaron Judge","NYY",159,686,564,169,83,28,1,57,118,147,113,8,174,6,4,0,,9,2,0.300126,0.164472,0.253401,0.649058,0.419087,0.658078,0.44763,1.07716,0.357952,3.35465,0.332162,0.0930699,-0.680435,156.138,75.8913,198.656,-0.587365,0.32235,76.85073727369308,-8.227649420499802,9.44901,3.3299999237060547,,,,,,,1373.6,8.63899371,1373.6,8.63899371,,,,,,,,,,,,,,,,,,,"Aaron Judge","15640",592450
"Bobby Witt Jr.","KCR",159,686,622,190,110,39,8,33,110,104,51,4,110,6,7,0,,36,10,0.306365,0.0736993,0.161071,0.457559,0.360848,0.552953,0.385814,0.9138,0.246588,7.27858,0.325034,1.78015,2.05424,122.008,41.7606,150.711,3.83439,4.83014,43.63921356201172,12.180140972137451,8.12667,1.559999942779541,,,,,,,1122.3,7.058490566,1122.3,7.058490566,,,,,,,,,,,,,,,,,,,"Bobby Witt Jr.","25764",677951
"Julio Rodríguez","SEA",157,679,615,177,112,31,2,32,91,101,51,4,161,9,5,0,,32,7,0.287859,0.074449,0.236394,0.314937,0.347911,0.501642,0.362711,0.849553,0.213784,5.53585,0.339416,1.22115,2.25926,108.137,28.709,145.309,3.48042,4.48578,38.68164134025574,6.71078085899353,7.0257,13.84000015258789,,,,,,,999.5,6.366242038,999.5,6.366242038,,,,,,,,,,,,,,,,,,,"Julio Rodriguez","23697",677594
"Gunnar Henderson","BAL",157,679,592,163,91,34,7,32,111,103,75,4,159,5,6,0,,18,4,0.275743,0.1106,0.23404,0.472567,0.359116,0.51566,0.3721,0.874776,0.239917,6.6771,0.323039,1.47876,0.751114,113.268,33.8398,148.158,2.22987,-1.60003,39.6444091796875,5.4249666929244995,6.99234,6.380000114440918,,,,,,,1023.1,6.516560509,1023.1,6.516560509,,,,,,,,,,,,,,,,,,,"Gunnar Henderson","26289",683002
"Juan Soto","NYM",159,686,549,159,90,30,2,37,116,111,129,7,109,3,5,0,,10,5,0.289101,0.187429,0.159361,1.17613,0.423438,0.55283,0.415005,0.976267,0.263728,4.27107,0.298783,-1.56655,-1.51243,138.125,57.8781,172.507,-3.07897,-3.99258,56.40036106109619,-12.342577695846558,6.90951,7.510000228881836,,,,,,,1188.6,7.475471698,1188.6,7.475471698,,,,,,,,,,,,,,,,,,,"Juan Soto","20123",665742
"Shohei Ohtani","LAD",151,651,563,164,82,31,5,47,120,134,79,6,149,5,4,0,,35,10,0.291158,0.120824,0.228453,0.528882,0.380069,0.611274,0.414762,0.991343,0.320116,7.01673,0.315666,0.367106,1.81468,130.95,54.7976,170.528,2.18179,0,57.08583164215088,-16.274999618530273,6.4538,1.5299999713897705,,,,,,,1206.1,7.987417218,1206.1,7.987417218,,,,,,,,,,,,,,,,,,,"Shohei Ohtani","19755",660271
"Yordan Alvarez","HOU",141,609,523,161,88,32,2,39,97,112,72,6,102,10,5,0,,5,1,0.308534,0.117648,0.167323,0.703121,0.39861,0.601152,0.420343,0.999762,0.292619,3.57122,0.31618,-0.716201,-0.961935,125.238,53.9982,181.014,-1.67814,-0.0706551,54.7743524312973,-13.695655107498169,6.33919,17.649999618530273,,,,,,,1102.1,7.816312056,1102.1,7.816312056,,,,,,,,,,,,,,,,,,,"Yordan Alvarez","19556",670541
"Vladimir Guerrero Jr.","TOR",157,679,596,183,111,38,1,34,97,109,71,5,91,6,5,0,,6,2,0.307528,0.104829,0.134321,0.780435,0.384335,0.543548,0.394534,0.927883,0.236019,3.37659,0.31424,-1.94039,-1.056,125.528,46.0999,162.662,-2.99639,-2.30266,45.68673872947693,-13.9776611328125,5.61251,13.600000381469727,,,,,,,1101.1,7.013375796,1101.1,7.013375796,,,,,,,,,,,,,,,,,,,"Vladimir Guerrero Jr.","19611",665489
"Fernando Tatis Jr.","SDP",152,658,591,166,94,33,2,37,88,106,57,4,141,6,5,0,,22,5,0.280509,0.086008,0.214532,0.40091,0.347244,0.531044,0.372615,0.878288,0.250534,4.99361,0.308388,1.16446,1.20253,110.037,33.0658,144.139,2.36699,2.29837,37.09708523750305,-5.151626348495483,5.56228,10.850000381469727,,,,,,,1010.3,6.646710526,1010.3,6.646710526,,,,,,,,,,,,,,,,,,,"Fernando Tatis Jr.","19709",665487
"Ronald Acuña Jr.","ATL",128,553,478,146,87,28,2,29,90,97,63,4,99,8,4,0,,40,11,0.3052,0.113472,0.178225,0.63668,0.391942,0.553222,0.401525,0.945163,0.248022,6.0832,0.329685,1.20432,2.52759,105.346,40.6568,158.727,3.73192,-1.73491,42.56715726852417,-8.059910416603088,5.46574,30.579999923706055,,,,,,,963,7.5234375,963,7.5234375,,,,,,,,,,,,,,,,,,,"Ronald Acuna Jr.","18401",660670
"Mookie Betts","LAD",157,679,592,160,97,32,3,28,102,101,76,3,96,6,5,0,,15,4,0.270814,0.11141,0.14099,0.790197,0.35701,0.478286,0.359527,0.835296,0.207471,5.18117,0.279561,0.408802,-0.0722107,106.397,26.9689,133.352,0.336591,-4.23195,27.4164617061615,2.6430506706237793,5.43973,12.420000076293945,,,,,,,940.4,5.989808917,940.4,5.989808917,,,,,,,,,,,,,,,,,,,"Mookie Betts","13611",605141
"Elly De La Cruz","CIN",154,665,599,155,85,32,8,30,100,93,57,3,205,4,5,1,,54,12,0.258901,0.0853553,0.308691,0.276507,0.324421,0.490708,0.347202,0.815129,0.231807,8.32827,0.339178,0.665929,4.66422,97.6065,19.816,116.883,5.33015,3.86706,18.75571870803833,10.992063045501709,5.35939,4.639999866485596,,,,,,,941.4,6.112987012,941.4,6.112987012,,,,,,,,,,,,,,,,,,,"Elly De La Cruz","26668",682829
