Name,Team,PA,Events,EV,EV90,maxEV,LA,Barrels,Barrel%,HardHit,HardHit%,AVG,xBA,SLG,xSLG,wOBA,xwOBA,NameASCII,PlayerId,MLBAMID
"Aaron Judge","NYY",679,388,95.42196584302326,112,118.1,19.06201550387597,96,0.24742268,226,0.58247423,0.330868761,0.2999112164532697,0.687615526,0.7084153917100694,0.46277131105470437,0.45925570055028764,"Aaron Judge",15640,592450
"Juan Soto","NYM",715,448,93.80293764140272,108,115,11.979638009049774,81,0.18080357,247,0.55133929,0.263431542,0.28753672705756295,0.525129982,0.6079080899556478,0.38982828523431506,0.42858725180782814,"Juan Soto",20123,665742
"Shohei Ohtani","LAD",727,428,94.88074933978874,110.1,120,14.976525821596244,100,0.23364486,250,0.58411215,0.281505728,0.27430830158171104,0.62193126,0.649394000944544,0.4178216946885941,0.42509599165482953,"Shohei Ohtani",19755,660271
"George Springer","TOR",586,398,89.92296117665816,107.2,114,17.278061224489797,63,0.15829146,186,0.46733668,0.309236947,0.2906911377935582,0.560240963,0.5709399217571052,0.4078920781612396,0.40411586595618204,"George Springer",12856,543807
"Kyle Schwarber","PHI",724,408,94.30907245710785,109.8,117.2,20.061274509803923,85,0.20833333,243,0.59558824,0.240066225,0.2507701393784277,0.562913907,0.5835265102765418,0.39137705031543724,0.40230382602750175,"Kyle Schwarber",16478,656941
"Corey Seager","TEX",445,295,92.91457891949153,108,112.4,11.64406779661017,45,0.15254237,158,0.53559322,0.271052631,0.28501849927400286,0.486842105,0.568665233411287,0.36543997128804523,0.3998089669764727,"Corey Seager",13624,608369
"Jahmai Jones","DET",150,97,91.5031229654948,108,110.8,19.947916666666668,13,0.13402062,52,0.53608247,0.286821705,0.29068238605824553,0.550387596,0.5474003045133842,0.3988108642949354,0.39949191816701185,"Jahmai Jones",18872,663330
"Ronald Acuña Jr.","ATL",412,236,92.65254237288136,109.8,115.5,13.372881355932204,37,0.15677966,124,0.52542373,0.289940828,0.26338484724597816,0.517751479,0.5354912210498336,0.4028523605243832,0.3969082925833908,"Ronald Acuna Jr.",18401,660670
"Ben Rice","NYY",530,371,93.24850736788618,107.8,113.5,14.227027027027027,57,0.15363881,207,0.55795148,0.254817987,0.2833875402360515,0.498929336,0.5566133163517637,0.3584577606031389,0.3942605005948322,"Ben Rice",29576,700250
"Yordan Alvarez","HOU",199,138,94.65869848278986,110.6,115.4,18.28985507246377,19,0.13768116,73,0.52898551,0.272727272,0.28394819317442,0.43030303,0.5487813776189631,0.3376218264864892,0.3928899863331588,"Yordan Alvarez",19556,670541
