Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Paul Skenes","PIT",13.1473,8.6899,21.0899,2.80474,30.78,30.78,0,0,,188.104,759.711,147.492,64.8216,58.6204,15.5709,55.2044,0.4368,7.5295,241.335,11.5469,2.6413,4.37166,0.745,0.317667,0.072665,0.24500197917222977,0.211617,1.07758,0.299773,0.762173,0.470836,,2.67714,5.79055,5.78693,11.449999809265137,,,,,,,1105.2,5.87872340425532,1025,5.452127659574468,4.21,3.75,3.44,3.2,2.99,2.8,2.6,2.39,2.12,3.72,3.48,3.32,3.19,3.07,2.95,2.83,2.7,2.53,"Paul Skenes","33677",694973
"Jacob deGrom","TEX",11.1926,6.8077,16.502,2.88172,25.92,25.92,0,0,,152.018,602.766,116.394,52.7746,48.6746,17.2286,30.0925,0.302,4.93,206.015,12.1969,1.78159,6.84606,1.02,0.341783,0.049924,0.2918586991727352,0.205011,0.963614,0.287852,0.76583,0.383545,,2.62056,5.12067,4.23874,46.689998626708984,,,,,,,921.1,6.059868421052632,846,5.565789473684211,4.34,3.82,3.49,3.22,3,2.78,2.57,2.35,2.07,3.78,3.52,3.35,3.21,3.09,2.96,2.84,2.7,2.52,"Jacob deGrom","10954",594798
"Tarik Skubal","DET",13.2807,9.4838,21.5989,2.92873,32,32,0,0,,196.234,787.772,160.516,70.1085,63.8574,20.0595,44.9928,0.3017,7.9935,228.494,10.4796,2.06353,5.07846,0.92,0.290051,0.057114,0.23293708264827728,0.218453,1.04726,0.288867,0.763138,0.435306,,2.97662,4.98231,5.11403,14.039999961853027,,,,,,,1082.8000000000002,5.5244897959183685,1017,5.188775510204081,4.27,3.84,3.55,3.32,3.12,2.93,2.74,2.54,2.28,3.73,3.53,3.4,3.29,3.19,3.1,3,2.88,2.73,"Tarik Skubal","22267",669373
"Garrett Crochet","BOS",12.4796,8.3192,17.3614,3.04315,30.78,30.78,0,0,,170.138,684.385,133.266,62.7513,57.5284,16.6168,51.6813,0.3928,6.542,220.434,11.6605,2.73385,4.26525,0.879,0.32209,0.0755149,0.24657507985830307,0.212831,1.08704,0.299785,0.755772,0.440866,,2.87155,4.80243,4.879,25.15999984741211,,,,,,,966.1000000000001,5.682941176470589,892,5.247058823529412,4.5,4.01,3.68,3.43,3.2,3,2.79,2.56,2.28,3.94,3.7,3.54,3.41,3.29,3.17,3.05,2.92,2.75,"Garrett Crochet","27463",676979
"Zack Wheeler","PHI",13.4682,9.4226,20.5613,3.32901,32,32,0,0,,198.518,810.278,171.329,79.9917,73.4298,22.8737,50.9251,0.8184,8.6659,212.375,9.62824,2.30874,4.17035,1.037,0.262102,0.0628489,0.19925297051668167,0.22823,1.11957,0.288019,0.747841,0.425596,,3.4253,4.61254,4.75219,21.450000762939453,,,,,,,989.1000000000003,4.970351758793971,940,4.723618090452261,4.72,4.28,3.98,3.74,3.53,3.34,3.14,2.92,2.65,4.12,3.94,3.81,3.7,3.61,3.51,3.41,3.3,3.15,"Zack Wheeler","10310",554430
"Chris Sale","ATL",13.9468,7.7666,19.9639,3.07328,30.78,30.78,0,0,,186.772,754.94,152.736,69.5504,63.7781,19.4243,47.1377,0.5224,8.9808,230.074,11.0866,2.27143,4.88089,0.936,0.304758,0.062439,0.24231886118650436,0.218563,1.07015,0.296695,0.754712,0.42585,,2.95619,4.51026,4.9485,36.33000183105469,,,,,,,1044.3,5.584491978609625,980,5.240641711229946,4.47,4.01,3.7,3.46,3.25,3.05,2.85,2.63,2.36,3.91,3.7,3.55,3.43,3.32,3.22,3.11,2.99,2.82,"Chris Sale","10603",519242
"Tyler Glasnow","LAD",10.5528,6.3894,14.7492,3.22287,24.3,24.3,0,0,,143.689,580.091,117.05,56.0611,51.4544,16.1091,40.6673,0.2431,3.5606,178.161,11.1592,2.54721,4.38093,1.009,0.307125,0.070105,0.23702005296945572,0.218432,1.09763,0.295499,0.752091,0.449349,,3.06752,3.69035,3.45113,97.51000213623047,,,,,,,785.6000000000001,5.455555555555557,733,5.090277777777778,4.78,4.25,3.9,3.63,3.39,3.16,2.94,2.7,2.4,4.1,3.88,3.72,3.6,3.48,3.37,3.26,3.13,2.96,"Tyler Glasnow","14374",607192
"Sonny Gray","STL",12.145,9.5476,18.4993,3.40945,30.78,30.78,0,0,,184.766,764.441,164.484,76.5001,69.9943,19.6878,51.2749,0.4319,6.8303,197.267,9.60896,2.49762,3.84725,0.959,0.258054,0.067075,0.19097916781902313,0.23287,1.16775,0.295877,0.739968,0.447403,,3.35982,3.67956,3.83628,111.93000030517578,,,,,,,916.6,4.954594594594595,885,4.783783783783784,4.88,4.41,4.1,3.85,3.63,3.42,3.21,2.98,2.69,4.26,4.06,3.92,3.81,3.7,3.6,3.5,3.38,3.22,"Sonny Gray","12768",543243
"Cole Ragans","KCR",12.0174,9.5546,17.8285,3.5052,30.78,30.78,0,0,,182.633,763.514,156.145,77.213,71.1293,19.3591,68.885,0.5505,6.4845,207.071,10.2043,3.3946,3.00604,0.954,0.271208,0.090221,0.18098712712526321,0.226908,1.23215,0.296258,0.746825,0.407633,,3.51491,3.64231,4.09902,48.18000030517578,,,,,,,903.9,4.939344262295082,857,4.683060109289618,4.99,4.51,4.18,3.93,3.7,3.49,3.28,3.04,2.75,4.37,4.16,4.01,3.89,3.78,3.67,3.56,3.44,3.27,"Cole Ragans","21846",666142
"Dylan Cease","SDP",12.5504,9.821,18.4779,3.48086,32,32,0,0,,188.994,786.818,154.557,79.0361,73.0956,22.3852,70.4839,1.0111,6.4338,224.319,10.6822,3.35649,3.18256,1.066,0.285097,0.0895809,0.19551599770784378,0.217717,1.19073,0.285348,0.753762,0.379245,,3.55338,3.63158,3.81409,47.04999923706055,,,,,,,945,5,879,4.650793650793651,4.91,4.44,4.13,3.89,3.67,3.46,3.26,3.03,2.74,4.28,4.09,3.95,3.84,3.74,3.65,3.54,3.43,3.27,"Dylan Cease","18525",656302
