Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Tarik Skubal","DET",14.99,7.30922,14.9448,2.59999,29.374,29.374,0,0,,188.17,738.473,141.522,58.35,54.36,15.7068,36.8943,0.488036,7.26115,233.327,11.1598,1.76462,6.32421,0.751243,0.315959,0.0499602,0.26599883288145065,0.203829,0.948166,0.282551,0.767556,,,2.44427,6.81293,6.39166,6.880000114440918,,,,,,,1159.2,6.165957446808511,1066,5.670212765957447,,,,,,,,,,,,,,,,,,,"Tarik Skubal","22267",669373
"Paul Skenes","PIT",13.3293,8.58937,14.3688,3.09011,29.806,29.806,0,0,,184.275,743.796,149.348,67.6,63.27,17.0924,47.3719,0.45957,5.0847,219.816,10.7358,2.31365,4.64022,0.834793,0.295532,0.0636894,0.23184308409690857,0.216027,1.06753,0.291035,0.747262,,,2.8092,5.78448,4.88444,9.819999694824219,,,,,,,1049.1000000000004,5.7016304347826114,983,5.342391304347826,,,,,,,,,,,,,,,,,,,"Paul Skenes","33677",694973
"Cristopher Sánchez","PHI",14.3275,7.68536,15.1206,3.07017,29.244,29.244,0,0,,186.879,757.278,164.386,68.91,63.75,13.9962,44.1494,0.471856,5.98451,190.698,9.1839,2.12621,4.31938,0.674051,0.25182,0.0583001,0.19351990520954132,0.232465,1.11589,0.299314,0.738991,,,2.8727,5.19101,4.98604,25.649999618530273,,,,,,,1017.1999999999999,5.439572192513369,985,5.267379679144385,,,,,,,,,,,,,,,,,,,"Cristopher Sanchez","20778",650911
"Logan Webb","SFG",13.4235,9.04988,15.8923,3.26017,29.882,29.882,0,0,,192.772,789.921,176.441,75.07,69.83,14.9769,47.1762,0.816171,5.58565,190.205,8.88015,2.20253,4.0318,0.699232,0.24079,0.0597226,0.18106722086668015,0.239352,1.16001,0.303517,0.733025,,,2.99287,5.17446,4.70649,57.95000076293945,,,,,,,1007.1,5.218134715025907,991,5.134715025906735,,,,,,,,,,,,,,,,,,,"Logan Webb","17995",657277
"Garrett Crochet","BOS",13.2384,8.40218,14.6002,3.2598,29.263,29.263,0,0,,183.131,738.799,151.826,71.42,66.33,20.9749,42.095,0.528735,6.22244,217.748,10.7013,2.06877,5.17279,1.03081,0.294733,0.0569776,0.2377552092075348,0.219884,1.05892,0.289648,0.744432,,,3.03755,5.15868,4.47315,11.949999809265137,,,,,,,992.7,5.424590163934426,934,5.103825136612022,,,,,,,,,,,,,,,,,,,"Garrett Crochet","27463",676979
"Chris Sale","ATL",10.8324,7.70858,12.3262,3.55994,25.493,25.493,0,0,,156.188,643.656,129.196,66.13,61.78,16.8759,41.8533,0.410523,11.9832,203.096,11.703,2.41171,4.85256,0.97244,0.315535,0.0650244,0.2505102604627609,0.219043,1.09515,0.303692,0.711688,,,2.97319,4.47566,3.19625,38.900001525878906,,,,,,,853.9000000000002,5.47371794871795,803,5.147435897435898,,,,,,,,,,,,,,,,,,,"Chris Sale","10603",519242
"Bryan Woo","SEA",13.1206,8.46805,14.6472,3.39025,29.253,29.253,0,0,,182.854,733.066,150.546,73.52,68.88,24.2993,36.8469,0.488557,7.43263,188.872,9.29622,1.81359,5.12587,1.196,0.257647,0.0502641,0.20738302543759346,0.218567,1.02482,0.265439,0.742453,,,3.52334,4.3488,4.13224,35.099998474121094,,,,,,,912.4,4.9857923497267755,849,4.639344262295082,,,,,,,,,,,,,,,,,,,"Bryan Woo","30279",693433
"Max Fried","NYY",13.5402,7.68367,14.3248,3.24003,28.609,28.609,0,0,,179.415,738.618,151.128,69.51,64.59,14.5322,55.2855,0.469519,9.36442,172.968,8.67661,2.77329,3.12864,0.728977,0.234178,0.0748499,0.1593283712863922,0.224236,1.15048,0.280792,0.73577,,,3.34098,4.23031,4.30958,49.9900016784668,,,,,,,901.5000000000001,5.0363128491620115,854,4.770949720670391,,,,,,,,,,,,,,,,,,,"Max Fried","13743",608331
"Dylan Cease","TOR",12.2209,8.22128,12.2667,3.37015,28.977,28.977,0,0,,168.055,689.866,129.565,67.19,62.93,18.3827,62.121,0.577696,4.38623,198.926,10.6532,3.32682,3.20223,0.984466,0.288354,0.0900479,0.19830580055713654,0.20785,1.14062,0.273814,0.750201,,,3.377,4.13705,3.89115,73.58000183105469,,,,,,,883.8,5.260714285714285,806,4.7976190476190474,,,,,,,,,,,,,,,,,,,"Dylan Cease","18525",656302
"Jesús Luzardo","PHI",12.0728,8.89018,13.551,3.67023,29.238,29.238,0,0,,175.256,725.853,152.599,77.3,71.47,20.741,51.603,0.488452,7.03572,194.272,9.97652,2.64999,3.76474,1.06512,0.267646,0.0710929,0.19655295461416245,0.228711,1.16517,0.291592,0.724473,,,3.46041,4.04547,3.25993,71.88999938964844,,,,,,,849.9000000000001,4.856571428571429,813,4.645714285714286,,,,,,,,,,,,,,,,,,,"Jesus Luzardo","19959",666200
"Cole Ragans","KCR",10.6517,7.91626,11.4502,3.39981,26.092,26.092,0,0,,153.591,627.086,116.556,62.01,58.02,19.4675,50.3165,0.501057,7.00611,194.796,11.4145,2.94841,3.8714,1.14074,0.310636,0.0802386,0.2303975448012352,0.20457,1.08648,0.273105,0.751068,,,3.36597,3.91385,3.50315,47.599998474121094,,,,,,,820.7,5.32922077922078,742,4.818181818181818,,,,,,,,,,,,,,,,,,,"Cole Ragans","21846",666142
"Yoshinobu Yamamoto","LAD",12.8568,6.33682,12.3955,3.36013,26.41,26.41,0,0,,160.333,656.96,132.716,64.04,59.86,15.8808,51.4787,0.395181,4.10987,177.868,9.9843,2.88967,3.45518,0.891438,0.270744,0.078359,0.19238506257534027,0.220689,1.14883,0.286626,0.741871,,,3.24416,3.84461,3.68963,26.760000228881836,,,,,,,832.4000000000001,5.202500000000001,783,4.89375,,,,,,,,,,,,,,,,,,,"Yoshinobu Yamamoto","33825",808967
"Framber Valdez","DET",12.9419,8.68094,15.4853,3.35019,28.69,28.69,0,0,,186.061,768.547,160.194,74.77,69.26,14.3347,59.662,0.509114,9.98805,170.105,8.22821,2.88592,2.85115,0.693387,0.221334,0.0776295,0.14370425790548325,0.22921,1.18164,0.283522,0.726202,,,3.43122,3.83984,4.22563,82.73999786376953,,,,,,,918.2,4.936559139784946,878,4.720430107526882,,,,,,,,,,,,,,,,,,,"Framber Valdez","17295",664285
"Logan Gilbert","SEA",11.3892,8.43852,12.3751,3.57021,27.901,27.901,0,0,,164.36,662.323,133.263,69.79,65.2,24.4532,38.8314,0.513535,6.10783,200.606,10.9847,2.12632,5.16608,1.339,0.302882,0.058629,0.24425311759114265,0.215851,1.04706,0.277347,0.742089,,,3.44846,3.80455,3.28932,36.90999984741211,,,,,,,839.6000000000001,5.119512195121952,775,4.725609756097561,,,,,,,,,,,,,,,,,,,"Logan Gilbert","22250",669302
"Jacob deGrom","TEX",10.7965,7.99184,12.1406,3.45011,26.019,26.019,0,0,,157.221,630.524,124.22,64.03,60.27,19.9628,40.519,0.449942,2.5727,174.978,10.0165,2.31948,4.31843,1.14276,0.277513,0.0642624,0.21325024217367172,0.211463,1.04782,0.26563,0.736226,,,3.38215,3.77305,3.4841,49.63999938964844,,,,,,,811.4,5.168152866242038,743,4.732484076433121,,,,,,,,,,,,,,,,,,,"Jacob deGrom","10954",594798
"George Kirby","SEA",11.1505,8.61313,12.4729,3.70024,27.814,27.814,0,0,,164.154,672.055,148.742,72.17,67.49,19.6881,34.7982,0.441802,7.02116,159.851,8.76409,1.90786,4.59367,1.07943,0.237855,0.0517788,0.18607576936483383,0.23601,1.11809,0.286343,0.714017,,,3.51101,3.76585,3.07142,64.51000213623047,,,,,,,774.2000000000002,4.720731707317074,754,4.597560975609756,,,,,,,,,,,,,,,,,,,"George Kirby","25436",669923
"Hunter Brown","HOU",11.7619,9.41043,14.1183,3.74,29.271,29.271,0,0,,178.412,743.804,153.963,78.92,74.14,19.6812,61.5166,0.550385,6.866,188.831,9.52556,3.10321,3.06958,0.992821,0.253871,0.0827055,0.17116594314575195,0.227951,1.20776,0.287597,0.726668,,,3.60227,3.69802,3.24273,36.720001220703125,,,,,,,841.8000000000001,4.729213483146068,801,4.5,,,,,,,,,,,,,,,,,,,"Hunter Brown","25880",686613
"Sonny Gray","BOS",11.1253,8.92234,12.8735,3.71985,28.075,28.075,0,0,,167.281,690.841,149.861,74.32,69.14,20.0023,45.8235,0.419565,4.85971,170.515,9.17398,2.46538,3.72112,1.07616,0.246822,0.06633,0.18049196898937225,0.2341,1.16979,0.288805,0.72378,,,3.55987,3.55034,3.05427,137.1300048828125,,,,,,,788.8,4.723353293413173,764,4.574850299401198,,,,,,,,,,,,,,,,,,,"Sonny Gray","12768",543243
"Joe Ryan","MIN",9.91012,10.0883,13.3361,4.12998,27.996,27.996,0,0,,168.168,696.235,150.301,82.47,77.17,26.9447,40.7712,0.442213,7.42776,186.379,9.9746,2.18199,4.57133,1.44202,0.267695,0.0585596,0.20913562923669815,0.231933,1.1362,0.283766,0.7082,,,3.86132,3.5264,2.27307,79.36000061035156,,,,,,,749.0999999999999,4.4589285714285705,717,4.267857142857143,,,,,,,,,,,,,,,,,,,"Joe Ryan","21390",657746
"Zack Wheeler","PHI",9.71274,5.63352,10.2217,3.18019,20.764,20.764,0,0,,129.36,522.386,99.0461,48.97,45.71,14.78,37.7016,0.320868,5.25506,154.956,10.7808,2.62302,4.11005,1.02829,0.29663,0.0721718,0.22445832192897797,0.206592,1.05711,0.272095,0.756341,,,3.22094,3.48071,3.27109,113.11000061035156,,,,,,,693.6999999999999,5.37751937984496,631,4.891472868217054,,,,,,,,,,,,,,,,,,,"Zack Wheeler","10310",554430
"Chase Burns","CIN",7.93761,8.39194,5.14949,3.43866,28.515,23.125,0,0.6526,,127.986,521.741,102.859,52.19,48.9,15.5688,39.1767,0.809418,2.11351,158.442,11.1417,2.75491,4.0443,1.0948,0.30368,0.0750884,0.22859129309654236,0.214088,1.10977,0.284852,0.747224,,,3.20844,3.33362,2.78092,103.2699966430664,,,,,,,679.6000000000001,5.309375000000001,629,4.9140625,,,,,,,,,,,,,,,,,,,"Chase Burns","35333",695505
"Ranger Suarez","BOS",10.8172,8.63974,12.9904,3.7902,26.936,26.936,0,0,,163.986,684.909,155.109,74.24,69.06,16.7779,44.3938,0.601669,7.31181,143.786,7.89134,2.43646,3.23886,0.920817,0.209934,0.0648171,0.14511659741401672,0.244959,1.21658,0.292677,0.711665,,,3.65749,3.23098,2.85671,183.4600067138672,,,,,,,736.5000000000002,4.490853658536587,734,4.475609756097561,,,,,,,,,,,,,,,,,,,"Ranger Suarez","17277",624133
"MacKenzie Gore","TEX",9.90932,9.2411,11.2544,3.87002,27.667,27.667,0,0,,155.883,653.529,133.39,71.7,67.03,18.7551,55.7361,0.451948,6.56778,174.188,10.0569,3.21796,3.12523,1.08284,0.266535,0.0852848,0.1812497302889824,0.225616,1.21326,0.287823,0.720985,,,3.66343,3.11538,2.54443,164.8699951171875,,,,,,,733.9000000000001,4.70448717948718,692,4.435897435897436,,,,,,,,,,,,,,,,,,,"MacKenzie Gore","22201",669022
"Kevin Gausman","TOR",11.4128,9.51746,14.4991,4.15992,28.92,28.92,0,0,,177.84,742.596,162.191,87.65,82.2,24.9321,54.2802,0.615204,3.03302,173.492,8.77996,2.74697,3.19623,1.26174,0.233629,0.0730952,0.16053389757871628,0.236677,1.21722,0.281928,0.709499,,,3.97338,3.07361,2.29277,114.97000122070312,,,,,,,763.5,4.28932584269663,740,4.157303370786517,,,,,,,,,,,,,,,,,,,"Kevin Gausman","14107",592332
"Nick Pivetta","SDP",10.9483,8.99625,13.1947,3.83993,27.744,27.744,0,0,,167.628,689.089,141.078,76.53,71.52,25.4274,49.0882,0.665909,3.43281,170.562,9.1575,2.63556,3.4746,1.36521,0.247517,0.0712363,0.17628101259469986,0.221623,1.13445,0.262497,0.735187,,,4.01206,3.03986,2.79838,95.63999938964844,,,,,,,755.1,4.494642857142857,701,4.1726190476190474,,,,,,,,,,,,,,,,,,,"Nick Pivetta","15454",601713
"Freddy Peralta","NYM",10.9124,8.80867,12.046,3.82023,28.16,28.16,0,0,,162.32,676.181,130.949,73.39,68.9,21.6906,62.587,0.427418,6.93774,178.773,9.91223,3.4702,2.85639,1.20265,0.264386,0.0925596,0.17182619869709015,0.215853,1.19231,0.268981,0.736327,,,3.95454,3.037,2.83134,56.459999084472656,,,,,,,735.5999999999998,4.540740740740739,672,4.148148148148148,,,,,,,,,,,,,,,,,,,"Freddy Peralta","18679",642547
"Shohei Ohtani","LAD",9.11092,5.18569,6.97354,3.25027,21.707,21.707,0,0,,113.252,462.477,88.3578,43.78,40.9,12.6079,38.1653,0.295128,3.04592,142.473,11.3222,3.03295,3.73307,1.00194,0.308066,0.0825236,0.22554227709770203,0.209743,1.11718,0.284576,0.760003,,,3.158,2.99427,2.7294,1.25,,,,,,,608.5,5.384955752212389,557,4.929203539823009,,,,,,,,,,,,,,,,,,,"Shohei Ohtani","19755",660271
"Blake Snell","LAD",9.69431,5.47742,9.32535,3.58995,21.505,21.505,0,0,,125.375,520.263,100.691,53.65,50.01,13.3962,49.7582,0.416774,2.74278,145.352,10.4341,3.57188,2.92117,0.961644,0.279382,0.0956405,0.18374143540859222,0.21526,1.19999,0.282493,0.735028,,,3.46176,2.82915,2.43556,163.75,,,,,,,633.5,5.068,587,4.696,,,,,,,,,,,,,,,,,,,"Blake Snell","13543",605483
"Emmet Sheehan","LAD",8.93499,6.79533,2.86115,3.59078,33.355,23.163,0,0.7772,,133.517,547.604,102.462,56.9,53.27,18.5036,46.3954,1.16216,4.92939,157.666,10.6278,3.12738,3.39832,1.24728,0.28792,0.0847243,0.20319563150405884,0.206461,1.1149,0.262281,0.747911,,,3.72824,2.78237,2.5901,110.22000122070312,,,,,,,659.6999999999998,4.923134328358207,590,4.402985074626866,,,,,,,,,,,,,,,,,,,"Emmet Sheehan","29839",686218
"Eury Pérez","MIA",8.32233,9.80097,9.73426,3.96978,26.743,26.743,0,0,,143.6,595.384,120.435,67.9,63.34,20.125,45.888,0.438209,5.74143,149.476,9.36825,2.87599,3.25741,1.26132,0.251058,0.0770729,0.1739848107099533,0.221488,1.15824,0.268099,0.712446,,,3.95381,2.75706,2.18625,80.7300033569336,,,,,,,649.6000000000001,4.511111111111112,602,4.180555555555555,,,,,,,,,,,,,,,,,,,"Eury Perez","27768",691587
"Nolan McLean","NYM",10.2593,7.94684,11.6021,3.77985,25.602,25.602,0,0,,151.53,636.921,133.984,68.19,63.64,16.1089,53.1865,0.432364,9.019,148.833,8.83982,3.15897,2.79832,0.956774,0.233676,0.0835056,0.15017016977071762,0.233131,1.2352,0.287659,0.722767,,,3.78429,2.75565,2.70977,88.19999694824219,,,,,,,691.6,4.55,664,4.368421052631579,,,,,,,,,,,,,,,,,,,"Nolan McLean","33703",690997
"Nathan Eovaldi","TEX",9.92313,8.13066,12.2371,3.78998,24.863,24.863,0,0,,152.811,628.113,132.264,68.55,64.35,19.5589,41.0924,0.499007,7.48876,150.045,8.83706,2.42019,3.65139,1.15195,0.238881,0.065422,0.17345928400754929,0.228226,1.13445,0.274938,0.717981,,,3.78902,2.7347,2.66918,136.3800048828125,,,,,,,699,4.568627450980392,661,4.3202614379084965,,,,,,,,,,,,,,,,,,,"Nathan Eovaldi","9132",543135
"Braxton Ashcraft","PIT",7.31132,8.76287,2.85689,3.80314,37.305,22.454,0,0.6566,,134.084,561.804,125.095,60.72,56.66,12.9954,40.286,1.40048,4.32862,124.976,8.38864,2.70408,3.10221,0.87228,0.222454,0.0717083,0.15074598789215088,0.241875,1.23341,0.295607,0.711073,,,3.52916,2.68631,2.11008,245.91000366210938,,,,,,,628.6999999999999,4.691791044776119,623,4.649253731343284,,,,,,,,,,,,,,,,,,,"Braxton Ashcraft","23793",677952
"Jack Flaherty","DET",9.5765,9.61264,11.5044,4.06983,27.686,27.686,0,0,,156.655,656.344,139.122,75.86,70.84,23.2688,49.4243,0.487851,6.28634,170.162,9.77601,2.83948,3.44288,1.33682,0.259258,0.0753025,0.1839551329612732,0.231625,1.20358,0.284509,0.722487,,,3.96053,2.67323,2.18958,211.94000244140625,,,,,,,692.5000000000001,4.4108280254777075,661,4.210191082802548,,,,,,,,,,,,,,,,,,,"Jack Flaherty","17479",656427
"Michael King","SDP",9.94735,9.06525,11.4832,3.96001,27.33,27.33,0,0,,155.795,657.91,135.869,73.53,68.55,19.8361,57.3147,0.658638,8.46268,155.785,8.99944,3.31097,2.71807,1.1459,0.236788,0.0871164,0.14967180788516998,0.229458,1.23999,0.278584,0.723363,,,4.05706,2.65802,2.33395,127.94999694824219,,,,,,,671.8000000000001,4.306410256410257,637,4.083333333333333,,,,,,,,,,,,,,,,,,,"Michael King","19853",650633
"Kris Bubic","KCR",8.43505,8.81242,6.15852,3.81144,29.762,23.7,0,0.663,,137.452,574.722,123.592,62.52,58.21,15.9872,41.5636,1.23458,6.58717,134.294,8.79319,2.72148,3.23104,1.0468,0.233667,0.0723195,0.16134756058454514,0.234711,1.20155,0.285963,0.718871,,,3.74407,2.63032,2.19179,193.47000122070312,,,,,,,619.6000000000003,4.522627737226279,602,4.394160583941606,,,,,,,,,,,,,,,,,,,"Kris Bubic","21455",663460
"Tanner Bibee","CLE",9.5474,10.9768,14.1396,4.34018,28.619,28.619,0,0,,174.062,740.128,168.093,90.04,83.94,23.637,54.9582,0.527632,7.95366,154.36,7.9813,2.84165,2.80868,1.22217,0.208559,0.0742549,0.13430362194776535,0.248212,1.28145,0.289364,0.700208,,,4.21117,2.61441,1.83578,187.69000244140625,,,,,,,674.6000000000001,3.877011494252874,677,3.8908045977011496,,,,,,,,,,,,,,,,,,,"Tanner Bibee","30134",676440
"Bubba Chandler","PIT",8.54531,9.8364,6.39234,4.08706,31.427,25.124,0,0.6566,,143.355,606.354,130.255,69.54,65.1,18.2601,47.759,1.04935,6.71662,143.352,8.99979,2.99837,3.00157,1.14639,0.236416,0.0787641,0.1576516255736351,0.23602,1.24177,0.286969,0.711538,,,3.9311,2.59065,1.84813,152.02000427246094,,,,,,,623.8000000000001,4.362237762237763,606,4.2377622377622375,,,,,,,,,,,,,,,,,,,"Bubba Chandler","29868",696149
"Matthew Boyd","CHC",9.84082,9.0329,12.4316,4.28981,26.644,26.644,0,0,,157.937,664.835,150.872,80.69,75.28,23.1518,41.7937,0.430337,8.07138,142.399,8.11456,2.3816,3.40719,1.3193,0.214187,0.0628632,0.15132346749305725,0.245332,1.21989,0.284189,0.698742,,,4.18474,2.55855,1.74015,215.77000427246094,,,,,,,627.7,3.9727848101265826,625,3.9556962025316458,,,,,,,,,,,,,,,,,,,"Matthew Boyd","15440",571510
"David Peterson","NYM",10.4145,8.92938,12.1197,4.01991,27.549,27.549,0,0,,160.011,680.579,153.434,76.64,71.47,16.4211,56.6094,0.529612,5.77063,137.383,7.72729,3.18406,2.42687,0.923624,0.201863,0.0831784,0.11868438869714737,0.248195,1.31268,0.295036,0.713182,,,3.92163,2.54722,2.27852,490.3500061035156,,,,,,,674.4000000000001,4.215000000000001,677,4.23125,,,,,,,,,,,,,,,,,,,"David Peterson","20302",656849
"Brandon Woodruff","MIL",8.68235,8.79812,11.0057,4.18012,24.934,24.934,0,0,,144.491,603.157,130.879,71.72,67.11,22.398,40.4071,0.429417,5.26318,145.155,9.04137,2.51686,3.59232,1.39512,0.240659,0.0669926,0.1736663281917572,0.234766,1.18544,0.278203,0.711548,,,4.08935,2.49253,1.7717,135.9499969482422,,,,,,,609.4000000000001,4.231944444444445,589,4.090277777777778,,,,,,,,,,,,,,,,,,,"Brandon Woodruff","16162",605540
"Edward Cabrera","CHC",9.04643,7.54559,9.33007,3.77986,24.278,24.278,0,0,,133.886,557.37,110.364,60.02,56.23,14.5882,50.3297,0.35335,6.75204,141.455,9.50878,3.38323,2.81056,0.98064,0.25379,0.0902987,0.16349118947982788,0.2206,1.20023,0.278219,0.717712,,,3.71759,2.49178,2.38237,175.1300048828125,,,,,,,632.0999999999999,4.7171641791044765,586,4.373134328358209,,,,,,,,,,,,,,,,,,,"Edward Cabrera","21690",665795
"Spencer Strider","ATL",9.38958,9.15537,12.2616,4.38982,26.211,26.211,0,0,,155.2,662.611,141.243,80.71,75.7,21.1296,58.196,0.529879,7.33889,164.146,9.51879,3.37477,2.82058,1.2253,0.247727,0.0878283,0.15989823639392853,0.236557,1.28504,0.291678,0.698991,,,4.05651,2.4681,1.55203,107.79000091552734,,,,,,,655.1,4.226451612903226,635,4.096774193548387,,,,,,,,,,,,,,,,,,,"Spencer Strider","27498",675911
"Jacob Misiorowski","MIL",9.03108,9.44969,6.29702,3.86045,30.293,25.365,0,0.621,,138.901,589.348,109.746,63.58,59.58,17.5653,64.089,0.891524,8.04227,166.62,10.796,4.15261,2.59982,1.13813,0.282719,0.108746,0.17397353798151016,0.212186,1.2515,0.276793,0.738759,,,3.93788,2.42802,2.22818,118.5999984741211,,,,,,,643.2000000000002,4.627338129496404,583,4.194244604316546,,,,,,,,,,,,,,,,,,,"Jacob Misiorowski","31623",694819
"Reynaldo López","ATL",7.69946,8.59421,5.93852,4.27753,28.497,22.783,0,0.6492,,130.449,554.975,119.361,66,62,15.0887,49.2177,0.833169,3.76708,132.466,9.13917,3.39565,2.69144,1.041,0.238689,0.0886845,0.15000414103269577,0.237776,1.2923,0.294194,0.695664,,,3.8264,2.36004,1.44312,289.79998779296875,,,,,,,577.1,4.439230769230769,564,4.338461538461538,,,,,,,,,,,,,,,,,,,"Reynaldo Lopez","16400",625643
"Drew Rasmussen","TBR",8.73836,10.3318,10.4229,4.23977,28.226,28.226,0,0,,151.395,635.854,145.303,76.41,71.32,21.2165,42.7574,0.517564,4.87396,133.543,7.93876,2.5418,3.12328,1.26126,0.210022,0.0672439,0.142777681350708,0.24702,1.24218,0.286267,0.705054,,,4.13664,2.34555,1.80666,136.58999633789062,,,,,,,606.1000000000001,4.013907284768213,606,4.013245033112582,,,,,,,,,,,,,,,,,,,"Drew Rasmussen","25385",656876
"Cody Ponce","TOR",7.11722,7.7971,2.86878,4.02795,35.05,21.3,0,0.6481,,135.471,570.267,118.616,64.91,60.63,19.5052,46.2567,1.5683,6.4986,157.814,10.4844,3.07306,3.4117,1.29582,0.276737,0.081114,0.19562268257141113,0.229204,1.21703,0.291337,0.726655,,,3.84529,2.3346,1.75959,258.45001220703125,,,,,,,607.6,4.500740740740741,579,4.288888888888889,,,,,,,,,,,,,,,,,,,"Cody Ponce","17920",664074
"Gavin Williams","CLE",9.19471,10.6632,12.2138,4.18973,28.475,28.475,0,0,,162.891,698.263,144.794,81.02,75.83,20.2011,72.2202,0.432567,5.54533,164.525,9.09029,3.99028,2.2781,1.11615,0.235621,0.103428,0.13219228386878967,0.233352,1.33227,0.285914,0.720566,,,4.15951,2.33334,2.05677,143.25,,,,,,,679.2,4.166871165644172,651,3.9938650306748467,,,,,,,,,,,,,,,,,,,"Gavin Williams","30122",668909
"José Soriano","LAA",10.3277,10.4304,12.4485,3.78981,29.709,29.709,0,0,,169.845,726.755,159.35,76.6,71.52,14.2316,71.7446,0.605085,8.16745,138.491,7.33857,3.80171,1.93034,0.754126,0.190561,0.098719,0.09184186160564423,0.24635,1.36062,0.293689,0.731611,,,4.00513,2.32533,2.92848,330.739990234375,,,,,,,708.4,4.167058823529412,704,4.141176470588236,,,,,,,,,,,,,,,,,,,"Jose Soriano","22100",667755
"Cade Horton","CHC",8.2604,7.51924,9.07533,4.06027,23.089,23.089,0,0,,127.632,537.005,119.444,61.69,57.58,14.7061,40.2082,0.364476,3.75748,112.897,7.96096,2.83529,2.80781,1.03701,0.210234,0.0748749,0.1353594735264778,0.242261,1.25088,0.286611,0.704443,,,3.89735,2.31911,1.78115,183.3800048828125,,,,,,,547.3000000000001,4.2757812500000005,539,4.2109375,,,,,,,,,,,,,,,,,,,"Cade Horton","31872",690990
"Mitch Keller","PIT",9.53857,11.4127,14.1476,4.74021,29.67,29.67,0,0,,175.834,757.929,179.516,99.01,92.61,24.0058,55.7277,0.457849,8.43907,148.197,7.58541,2.8524,2.65931,1.22873,0.195529,0.0735262,0.12200255692005157,0.258757,1.33787,0.298164,0.675643,,,4.3191,2.31122,1.06904,544.239990234375,,,,,,,643.2,3.6545454545454548,672,3.8181818181818183,,,,,,,,,,,,,,,,,,,"Mitch Keller","17594",656605
"Merrill Kelly","ARI",9.40534,9.42389,12.5841,4.35006,26.492,26.492,0,0,,158.129,666.823,152.254,81.53,76.43,21.6516,47.7496,0.497397,3.52704,138.655,7.89165,2.71769,2.9038,1.23231,0.207934,0.0716076,0.13632677495479584,0.247347,1.26481,0.286887,0.69817,,,4.13425,2.31041,1.6392,275.7099914550781,,,,,,,625.4000000000001,3.9582278481012665,626,3.962025316455696,,,,,,,,,,,,,,,,,,,"Merrill Kelly","11156",518876
"Chad Patrick","MIL",8.48049,9.0668,9.78921,4.16985,25.866,25.866,0,0,,140.379,589.721,126.926,69.52,65.04,20.9241,43.1485,0.468385,5.71165,131.58,8.43587,2.76634,3.04947,1.34149,0.223122,0.0731677,0.1499546840786934,0.234673,1.21154,0.272949,0.714262,,,4.24238,2.30386,1.72248,296.3699951171875,,,,,,,564.5,4.0321428571428575,544,3.8857142857142857,,,,,,,,,,,,,,,,,,,"Chad Patrick","30113",694477
