player_name,pick_number
Andrew,1
Rick,2
Jason,3
Cway,4
Rick,5
Rick,6
Tony,7
Brady,8
Chas,9
Cocos,10
Alex,11
Cocos,12
Chas,13
Hoover,14
Cway,15
AMoore,16
Jason,17
Cway,18
Rick,19
Rick,20
Alex,21
Chas,22
AMoore,23
Hoover,24
Andrew,25
AMoore,26
Hoover,27
AMoore,28
Tom,29
Tony,30
Alex,31
Cocos,32
Tony,33
Tom,34
Rick,35
Hoover,36
Rick,37
Jason,38
AMoore,39
Andrew,40
Andrew,41
Jason,42
Cway,43
Rick,44
Rick,45
Tony,46
Brady,47
Cocos,48
Cocos,49
Chas,50
Brady,51
Tony,52
Rick,53
Rick,54
Jason,55
Andrew,56
Andrew,57
Jason,58
Cway,59
Hoover,60
Rick,61
Tony,62
Brady,63
Chas,64
Alex,65
Alex,66
Cocos,67
Chas,68
Brady,69
Tony,70
Tom,71
Rick,72
Hoover,73
Cway,74
AMoore,75
Andrew,76
Andrew,77
Rick,78
Jason,79
Cway,80
Hoover,81
Rick,82
Tony,83
Brady,84
Chas,85
Cocos,86
Alex,87
Alex,88
Cocos,89
Chas,90
Brady,91
Tony,92
Tom,93
Rick,94
Hoover,95
Cway,96
Jason,97
AMoore,98
Andrew,99
Andrew,100
AMoore,101
Jason,102
Cway,103
Hoover,104
Tony,105
Brady,106
Chas,107
Cocos,108
Alex,109
Alex,110
Cocos,111
Chas,112
Brady,113
Tony,114
Tom,115
Cway,116
Hoover,117
Cway,118
Jason,119
AMoore,120
Andrew,121
Andrew,122
AMoore,123
Jason,124
Cway,125
Hoover,126
Tom,127
Tom,128
Brady,129
Chas,130
Alex,131
Alex,132
Cocos,133
Brady,134
Tom,135
Hoover,136
Jason,137
AMoore,138
AMoore,139
Jason,140
Hoover,141
Tom,142
Tom,143
Tony,144
Brady,145
Chas,146
Cocos,147
Alex,148
Alex,149
Cocos,150
Chas,151
Brady,152
Tony,153
Tom,154
Tom,155
Hoover,156
Cway,157
Jason,158
AMoore,159
Andrew,160
Andrew,161
AMoore,162
Jason,163
Cway,164
Hoover,165
Tom,166
Tom,167
Tony,168
Brady,169
Chas,170
Cocos,171
Alex,172
Alex,173
Cocos,174
Chas,175
Brady,176
Tony,177
Tom,178
Tom,179
Hoover,180
Cway,181
AMoore,182
Andrew,183
Andrew,184
AMoore,185
Jason,186
Cway,187
Tom,188
Tony,189
Brady,190
Chas,191
Cocos,192
Alex,193
Alex,194
Cocos,195
Chas,196
Brady,197
Tony,198
Tom,199
Hoover,200
Cway,201
Jason,202
AMoore,203
Andrew,204
